Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Pages,Chrome 86.0.4240.198,,,2020-11-30 22:58:37,2020-11-30 23:00:05,"1m - 27,848s",PASSED
,,,,,,,
Test Cases/Pages/AddNewButton,Chrome 86.0.4240.198,,,2020-11-30 22:58:38,2020-11-30 22:59:01,"23,097s",PASSED
"openBrowser(""https://s1.demo.opensourcecms.com/wordpress/wp-login.php"")",Chrome 86.0.4240.198,"Se ingresa al navegador por defecto
",,2020-11-30 22:58:38,2020-11-30 22:58:45,"6,384s",PASSED
maximizeWindow(),Chrome 86.0.4240.198,"maximiza el navegador
",,2020-11-30 22:58:45,2020-11-30 22:58:47,"2,188s",PASSED
"click(findTestObject(""Login/InputUserName""))",Chrome 86.0.4240.198,"Se selecciona el campo de usuario
",,2020-11-30 22:58:47,2020-11-30 22:58:47,"0,189s",PASSED
"setText(findTestObject(""Login/InputUserName""), ""opensourcecms"")",Chrome 86.0.4240.198,Se ingresa el usuario,,2020-11-30 22:58:47,2020-11-30 22:58:47,"0,180s",PASSED
"click(findTestObject(""Login/InputPassword""))",Chrome 86.0.4240.198,"Se selecciona el campo de contraseña
",,2020-11-30 22:58:47,2020-11-30 22:58:48,"0,115s",PASSED
"setText(findTestObject(""Login/InputPassword""), ""opensourcecms"")",Chrome 86.0.4240.198,Se ingresa la contraseña,,2020-11-30 22:58:48,2020-11-30 22:58:48,"0,176s",PASSED
"click(findTestObject(""Login/ButtonLogin""))",Chrome 86.0.4240.198,Se selecciona el boton de ingreso,,2020-11-30 22:58:48,2020-11-30 22:58:51,"2,999s",PASSED
"verifyElementPresent(findTestObject(""Main Page/WelcomeMenu""), 5)",Chrome 86.0.4240.198,,,2020-11-30 22:58:51,2020-11-30 22:58:51,"0,087s",PASSED
"click(findTestObject(""Options/MenuPages""))",Chrome 86.0.4240.198,,,2020-11-30 22:58:51,2020-11-30 22:58:51,"0,660s",PASSED
"verifyElementPresent(findTestObject(""Interfaces/InterfacePages""), 3)",Chrome 86.0.4240.198,,,2020-11-30 22:58:51,2020-11-30 22:58:52,"0,082s",PASSED
"click(findTestObject(""AddNew/AddNew""))",Chrome 86.0.4240.198,,,2020-11-30 22:58:52,2020-11-30 22:58:56,"4,483s",PASSED
